id_venta,id_producto,id_sucursal,cantidad,fecha_venta,costo_unitario,precio_lista,id_promocion,descuento_promo,id_lealtad,descuento_lealtad,precio_venta,
128396,AL-010,SCT,1,03/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128398,WX-010,PER,1,03/01/2020," $2,932.50 "," $26,036.45 ",,0%,,0%," $26,036.45 ",
128400,AL-030,MHT,1,03/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128402,LS-040,WDF,1,03/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128404,LS-040,GLL,1,03/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128406,LS-040,SCT,1,03/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128408,AL-020,MAG,1,03/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
128410,AL-020,GAL,1,03/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
128412,AL-030,PFA,1,03/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128414,AL-030,WDF,1,03/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128416,AL-020,GLL,1,03/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
128418,AL-010,TEZ,1,03/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128420,AL-020,WDF,1,03/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
128422,LS-040,SCT,1,03/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128424,WX-010,WDF,1,03/01/2020," $2,932.50 "," $26,036.45 ",,0%,,0%," $26,036.45 ",
128426,AX-040,QUE,1,03/01/2020, $382.50 ," $15,705.95 ",,0%,,0%," $15,705.95 ",
128428,WS-030,TEZ,1,03/01/2020, $552.50 ," $5,933.54 ",,0%,,0%," $5,933.54 ",
128430,LS-030,QUE,1,03/01/2020, $187.00 ," $1,589.76 ",,0%,,0%," $1,589.76 ",
128432,AL-010,TEZ,1,03/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128434,AL-030,PER,1,04/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128436,AL-030,QUE,1,04/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128438,LL-010,SCT,1,04/01/2020, $208.25 ," $3,767.52 ",,0%,,0%," $3,767.52 ",
128440,AL-020,TEZ,1,04/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
128442,AL-010,SCT,1,04/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128444,AL-030,WDF,1,04/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128446,AL-030,WDF,1,04/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128448,AL-030,WDF,1,04/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128450,WX-010,GLL,1,04/01/2020," $2,932.50 "," $26,036.45 ",,0%,,0%," $26,036.45 ",
128452,AX-040,SCT,1,04/01/2020, $382.50 ," $15,705.95 ",,0%,,0%," $15,705.95 ",
128454,AX-040,PFA,1,04/01/2020, $382.50 ," $15,705.95 ",,0%,,0%," $15,705.95 ",
128456,AL-010,PER,1,04/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128458,LS-040,QUE,1,04/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128460,LL-020,MAG,1,04/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128462,AX-040,MHT,1,04/01/2020, $382.50 ," $15,705.95 ",,0%,,0%," $15,705.95 ",
128464,AL-020,GAL,1,05/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
128466,LS-040,WDF,1,05/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128468,WS-040,QUE,1,05/01/2020, $467.50 ," $4,794.89 ",,0%,,0%," $4,794.89 ",
128470,AL-010,GAL,1,05/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128472,AL-010,QUE,1,05/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128474,WX-010,GLL,1,05/01/2020," $2,932.50 "," $26,036.45 ",,0%,357298,0%," $26,036.45 ",
128476,LS-040,PER,1,05/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128478,LS-040,TLA,1,05/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128480,AX-040,WDF,1,05/01/2020, $382.50 ," $15,705.95 ",,0%,,0%," $15,705.95 ",
128482,AL-030,PER,1,05/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128484,AL-030,PER,1,05/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128486,AL-030,GLL,1,05/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128488,LL-020,PAM,1,06/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128490,AL-030,GLL,1,06/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128492,AL-030,GLL,1,06/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128494,AX-040,PER,1,06/01/2020, $382.50 ," $15,705.95 ",,0%,,0%," $15,705.95 ",
128496,LS-030,QUE,1,06/01/2020, $187.00 ," $1,589.76 ",,0%,,0%," $1,589.76 ",
128498,AL-010,TEZ,1,06/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128500,AL-030,TEZ,1,06/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128502,AL-030,TLA,1,06/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128504,AL-030,QUE,1,06/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128506,AL-030,QUE,1,06/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128508,LS-030,TEZ,1,06/01/2020, $187.00 ," $1,589.76 ",,0%,,0%," $1,589.76 ",
128510,AL-020,GAL,1,06/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
128512,LS-030,PER,1,06/01/2020, $187.00 ," $1,589.76 ",,0%,,0%," $1,589.76 ",
128514,LL-020,MHT,1,06/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128516,AX-040,WDF,1,06/01/2020, $382.50 ," $15,705.95 ",,0%,,0%," $15,705.95 ",
128518,AL-010,WDF,1,06/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128520,LL-020,WDF,1,06/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128522,LL-010,MAG,1,06/01/2020, $208.25 ," $3,767.52 ",,0%,,0%," $3,767.52 ",
128524,LS-040,WDF,1,07/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128526,AL-020,WDF,1,07/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
128528,AL-020,PER,1,04/02/2020, $63.75 ," $1,204.69 ",BDAY,50%,519814,0%, $602.35 ,
128530,AL-020,MHT,1,07/01/2020, $63.75 ," $1,204.69 ",,0%,128154,0%," $1,204.69 ",
128532,LL-020,MHT,1,07/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128534,LL-020,WDF,1,07/01/2020, $324.70 ," $4,179.86 ",,0%,527520,0%," $4,179.86 ",
128536,AL-030,TEZ,1,07/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128538,AL-010,QUE,1,07/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128540,AL-030,WDF,1,07/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128542,AL-010,PFA,1,07/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128544,LL-020,WDF,1,07/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128546,WX-010,QUE,1,07/01/2020," $2,932.50 "," $26,036.45 ",,0%,,0%," $26,036.45 ",
128548,LL-010,PER,1,07/01/2020, $208.25 ," $3,767.52 ",,0%,,0%," $3,767.52 ",
128550,AL-030,PFA,1,07/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128552,AL-010,WDF,2,07/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $2,648.73 ",
128554,WL-020,PFA,1,07/01/2020," $3,570.00 "," $20,166.57 ",,0%,,0%," $20,166.57 ",
128556,AL-020,GLL,1,07/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
128558,WS-040,QUE,1,07/01/2020, $467.50 ," $4,794.89 ",,0%,,0%," $4,794.89 ",
128560,AX-040,PER,1,07/01/2020, $382.50 ," $15,705.95 ",,0%,,0%," $15,705.95 ",
128562,AL-020,PFA,1,08/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
128564,AL-030,MHT,1,08/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128566,LL-020,WDF,1,08/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128568,AL-020,PAM,1,08/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
128570,AL-030,QUE,1,08/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128572,AL-020,PER,1,08/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
128574,WX-010,WDF,1,08/01/2020," $2,932.50 "," $26,036.45 ",,0%,,0%," $26,036.45 ",
128576,LL-020,TEZ,1,08/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128578,LS-040,PFA,1,08/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128580,LS-030,GLL,1,08/01/2020, $187.00 ," $1,589.76 ",,0%,,0%," $1,589.76 ",
128582,LL-020,PER,1,08/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128584,AL-020,QUE,3,08/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $3,614.08 ",
128586,LL-020,MHT,1,08/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128588,WX-010,PFA,1,08/01/2020," $2,932.50 "," $26,036.45 ",,0%,,0%," $26,036.45 ",
128590,LS-030,TEZ,1,08/01/2020, $187.00 ," $1,589.76 ",,0%,,0%," $1,589.76 ",
128592,AL-020,PER,1,08/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
128594,LL-020,PER,1,08/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128596,AL-020,SCT,1,08/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
128598,AL-010,QUE,1,09/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128600,LS-040,PER,1,09/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128602,WS-040,PER,1,09/01/2020, $467.50 ," $4,794.89 ",,0%,,0%," $4,794.89 ",
128604,LS-040,SCT,3,09/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $5,388.17 ",
128606,AL-030,PAM,1,09/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128608,AL-010,TEZ,1,09/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128610,LL-020,WDF,1,09/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128612,AL-010,GLL,1,09/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128614,AX-040,SCT,1,09/01/2020, $382.50 ," $15,705.95 ",,0%,718549,0%," $15,705.95 ",
128616,LS-040,TEZ,1,09/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128618,LS-040,PER,1,09/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128620,AL-010,PER,1,09/01/2020, $233.75 ," $1,324.37 ",,0%,109405,0%," $1,324.37 ",
128622,AL-020,PER,1,09/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
128624,AL-030,QUE,1,09/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128626,LS-040,SCT,1,09/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128628,AX-040,PER,1,09/01/2020, $382.50 ," $15,705.95 ",,0%,,0%," $15,705.95 ",
128630,WX-010,GLL,1,09/01/2020," $2,932.50 "," $26,036.45 ",,0%,,0%," $26,036.45 ",
128632,AL-030,PER,1,09/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128634,AX-040,MHT,1,09/01/2020, $382.50 ," $15,705.95 ",,0%,,0%," $15,705.95 ",
128636,LS-040,PER,1,10/01/2020, $267.75 ," $1,796.06 ",,0%,658243,0%," $1,796.06 ",
128638,AX-040,PER,1,10/01/2020, $382.50 ," $15,705.95 ",,0%,,0%," $15,705.95 ",
128640,AL-030,GAL,1,10/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128642,AL-010,GLL,1,10/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128644,AX-040,WDF,1,10/01/2020, $382.50 ," $15,705.95 ",,0%,167257,0%," $15,705.95 ",
128646,AL-020,MHT,1,10/01/2020, $63.75 ," $1,204.69 ",,0%,325984,0%," $1,204.69 ",
128648,WL-020,TEZ,1,10/01/2020," $3,570.00 "," $20,166.57 ",,0%,,0%," $20,166.57 ",
128650,AL-010,QUE,1,10/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128652,AL-030,MHT,1,10/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128654,LL-020,MHT,3,10/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $12,539.57 ",
128656,AL-030,GAL,1,10/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128658,LL-020,QUE,1,10/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128660,AL-010,SCT,1,10/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128662,AL-030,WDF,1,10/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128664,AL-030,WDF,1,10/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128666,AL-030,PER,1,11/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128668,LL-020,WDF,1,11/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128670,LS-030,MAG,1,11/01/2020, $187.00 ," $1,589.76 ",,0%,,0%," $1,589.76 ",
128672,AL-020,PER,1,11/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
128674,AL-030,QUE,1,11/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128676,AL-030,QUE,1,11/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128678,LS-040,MHT,3,11/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $5,388.17 ",
128680,LS-040,TEZ,1,11/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128682,LS-040,MHT,1,11/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128684,WL-020,MHT,1,11/01/2020," $3,570.00 "," $20,166.57 ",,0%,,0%," $20,166.57 ",
128686,WL-020,PFA,1,11/01/2020," $3,570.00 "," $20,166.57 ",,0%,,0%," $20,166.57 ",
128688,AX-040,PER,1,11/01/2020, $382.50 ," $15,705.95 ",,0%,730520,0%," $15,705.95 ",
128690,AL-010,PER,1,11/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128692,LL-020,GLL,1,11/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128694,WS-040,PAM,1,11/01/2020, $467.50 ," $4,794.89 ",,0%,,0%," $4,794.89 ",
128696,AX-040,WDF,1,12/01/2020, $382.50 ," $15,705.95 ",,0%,566239,0%," $15,705.95 ",
128698,AX-040,PER,1,12/01/2020, $382.50 ," $15,705.95 ",,0%,,0%," $15,705.95 ",
128700,LL-020,MHT,1,12/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128702,AL-030,QUE,1,12/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128704,AL-030,WDF,2,12/01/2020, $38.25 , $570.85 ,,0%,230343,0%," $1,141.71 ",
128706,AL-010,SCT,2,12/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $2,648.73 ",
128708,AL-020,QUE,1,12/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
128710,AX-040,PFA,1,12/01/2020, $382.50 ," $15,705.95 ",,0%,,0%," $15,705.95 ",
128712,LL-020,WDF,1,12/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128714,AL-030,PER,1,12/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128716,AL-020,MHT,1,12/01/2020, $63.75 ," $1,204.69 ",,0%,447600,0%," $1,204.69 ",
128718,LS-040,MHT,1,12/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128720,AL-010,PFA,1,12/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128722,AX-040,WDF,1,12/01/2020, $382.50 ," $15,705.95 ",,0%,,0%," $15,705.95 ",
128724,AL-030,MHT,1,12/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128726,LL-020,PER,1,12/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128728,LL-020,QUE,3,12/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $12,539.57 ",
128730,LS-040,WDF,1,12/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128732,AL-020,QUE,1,12/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
128734,AL-010,SCT,1,12/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128736,AL-030,MHT,1,13/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128738,LL-020,PFA,1,13/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128740,LS-040,PFA,1,25/12/2020, $267.75 ," $1,796.06 ",BDAY,50%,282831,0%, $898.03 ,
128742,WS-040,GAL,1,13/01/2020, $467.50 ," $4,794.89 ",,0%,,0%," $4,794.89 ",
128744,LL-020,SCT,2,13/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $8,359.72 ",
128746,AL-010,WDF,2,13/01/2020, $233.75 ," $1,324.37 ",,0%,788637,0%," $2,648.73 ",
128748,AL-030,GLL,1,13/01/2020, $38.25 , $570.85 ,,0%,194100,0%, $570.85 ,
128750,AL-030,MAG,1,13/01/2020, $38.25 , $570.85 ,,0%,483193,0%, $570.85 ,
128752,LS-040,PFA,1,13/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128754,AL-010,PER,1,13/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128756,AL-030,WDF,1,13/01/2020, $38.25 , $570.85 ,,0%,572705,0%, $570.85 ,
128758,WX-010,MAG,1,13/01/2020," $2,932.50 "," $26,036.45 ",,0%,,0%," $26,036.45 ",
128760,LS-040,TLA,1,13/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128762,LS-040,SCT,1,13/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128764,LS-040,SCT,1,13/01/2020, $267.75 ," $1,796.06 ",,0%,718099,0%," $1,796.06 ",
128766,LL-010,PFA,1,13/01/2020, $208.25 ," $3,767.52 ",,0%,,0%," $3,767.52 ",
128768,AL-010,MHT,1,13/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128770,AL-020,PER,1,13/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
128772,AL-030,SCT,1,13/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128774,LS-040,SCT,1,13/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128776,AL-010,MAG,1,14/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128778,AL-030,PAM,1,14/01/2020, $38.25 , $570.85 ,,0%,382442,0%, $570.85 ,
128780,AL-010,MHT,1,14/01/2020, $233.75 ," $1,324.37 ",,0%,180864,0%," $1,324.37 ",
128782,AL-010,PFA,1,14/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128784,AL-030,TEZ,1,14/01/2020, $38.25 , $570.85 ,,0%,695214,0%, $570.85 ,
128786,AL-030,TEZ,1,14/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128788,AL-030,GAL,1,14/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128790,AL-030,WDF,1,14/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128792,AX-040,MHT,1,14/01/2020, $382.50 ," $15,705.95 ",,0%,495057,0%," $15,705.95 ",
128794,AL-030,TEZ,1,14/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128796,AL-020,WDF,1,14/01/2020, $63.75 ," $1,204.69 ",,0%,166752,0%," $1,204.69 ",
128798,AX-040,WDF,1,14/01/2020, $382.50 ," $15,705.95 ",,0%,,0%," $15,705.95 ",
128800,LL-020,WDF,1,14/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128802,AX-040,WDF,1,14/01/2020, $382.50 ," $15,705.95 ",,0%,,0%," $15,705.95 ",
128804,AL-030,GLL,1,14/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128806,AL-010,QUE,1,14/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128808,LL-020,PER,1,14/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128810,AL-020,WDF,1,14/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
128812,LS-040,WDF,1,14/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128814,AX-040,GLL,1,14/01/2020, $382.50 ," $15,705.95 ",,0%,,0%," $15,705.95 ",
128816,AL-010,QUE,1,15/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128818,AL-030,SCT,1,15/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128820,LL-020,PAM,1,15/01/2020, $324.70 ," $4,179.86 ",,0%,719319,0%," $4,179.86 ",
128822,AL-030,GLL,1,15/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128824,WS-030,QUE,1,15/01/2020, $552.50 ," $5,933.54 ",,0%,,0%," $5,933.54 ",
128826,AL-020,WDF,1,15/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
